"","gravidae","outcome","mediator","mediator_label","age_group","n","ACME_CI"
"160","single","whz_quarter","CD6",NA,"Birth",51,"0.1655 (-0.0622, 0.4956)"
"161","single","whz_quarter","CD6",NA,"1 day-3 months",50,"0.1513 (-0.0945, 0.4855)"
"162","single","whz_quarter","CD6",NA,">3-6 months",51,"0.2857 (-0.0188, 0.7433)"
"163","single","whz_quarter","CD6",NA,">6-9 months",51,"0.3615 (0.0515, 0.8158)"
"164","single","whz_quarter","CD6",NA,">9-12 months",51,"0.3514 (0.0365, 0.8198)"
"165","single","whz_quarter","CDCP1",NA,"Birth",51,"-0.0479 (-0.2955, 0.1282)"
"166","single","whz_quarter","CDCP1",NA,"1 day-3 months",50,"0.0862 (-0.0739, 0.3334)"
"167","single","whz_quarter","CDCP1",NA,">3-6 months",51,"0.1181 (-0.0915, 0.4633)"
"168","single","whz_quarter","CDCP1",NA,">6-9 months",51,"0.0302 (-0.1548, 0.2416)"
"169","single","whz_quarter","CDCP1",NA,">9-12 months",51,"0.0546 (-0.1485, 0.3241)"
"170","single","whz_quarter","DNER",NA,"Birth",51,"-0.0319 (-0.277, 0.153)"
"171","single","whz_quarter","DNER",NA,"1 day-3 months",50,"-0.0613 (-0.2754, 0.0948)"
"172","single","whz_quarter","DNER",NA,">3-6 months",51,"-0.1076 (-0.4302, 0.1332)"
"173","single","whz_quarter","DNER",NA,">6-9 months",51,"-0.0818 (-0.3403, 0.1057)"
"174","single","whz_quarter","DNER",NA,">9-12 months",51,"-0.0798 (-0.351, 0.1038)"
"175","single","whz_quarter","gestational_weightchange","Gestational weight change (kg)","Birth",124,"0.0187 (-0.0293, 0.1036)"
"176","single","whz_quarter","gestational_weightchange","Gestational weight change (kg)","1 day-3 months",120,"0.0117 (-0.0503, 0.1065)"
"177","single","whz_quarter","gestational_weightchange","Gestational weight change (kg)",">3-6 months",118,"-0.0036 (-0.0575, 0.0421)"
"178","single","whz_quarter","gestational_weightchange","Gestational weight change (kg)",">6-9 months",112,"-0.0034 (-0.0662, 0.0555)"
"179","single","whz_quarter","gestational_weightchange","Gestational weight change (kg)",">9-12 months",106,"-0.0157 (-0.1038, 0.0484)"
"180","single","whz_quarter","IL10",NA,"Birth",51,"-0.0118 (-0.1777, 0.1192)"
"181","single","whz_quarter","IL10",NA,"1 day-3 months",50,"0.0452 (-0.1147, 0.248)"
"182","single","whz_quarter","IL10",NA,">3-6 months",51,"0.0316 (-0.1457, 0.2684)"
"183","single","whz_quarter","IL10",NA,">6-9 months",51,"0.0092 (-0.1364, 0.1884)"
"184","single","whz_quarter","IL10",NA,">9-12 months",51,"0.031 (-0.1362, 0.2655)"
"185","single","whz_quarter","IL18",NA,"Birth",51,"0.1662 (-0.1464, 0.5696)"
"186","single","whz_quarter","IL18",NA,"1 day-3 months",50,"0.2127 (-0.085, 0.6476)"
"187","single","whz_quarter","IL18",NA,">3-6 months",51,"0.1554 (-0.0774, 0.4737)"
"188","single","whz_quarter","IL18",NA,">6-9 months",51,"0.0721 (-0.1869, 0.3775)"
"189","single","whz_quarter","IL18",NA,">9-12 months",51,"0.057 (-0.1843, 0.3443)"
"190","single","whz_quarter","LBW",NA,"Birth",139,"0.0654 (-0.0935, 0.2769)"
"191","single","whz_quarter","LBW",NA,"1 day-3 months",137,"0.0041 (-0.0912, 0.1113)"
"192","single","whz_quarter","LBW",NA,">3-6 months",134,"0.0827 (-0.0498, 0.32)"
"193","single","whz_quarter","OPG",NA,"Birth",51,"0.0284 (-0.2369, 0.3092)"
"194","single","whz_quarter","OPG",NA,"1 day-3 months",50,"0.0107 (-0.2009, 0.2348)"
"195","single","whz_quarter","OPG",NA,">3-6 months",51,"-0.0817 (-0.4244, 0.1689)"
"196","single","whz_quarter","OPG",NA,">6-9 months",51,"-0.1005 (-0.4392, 0.1249)"
"197","single","whz_quarter","OPG",NA,">9-12 months",51,"-0.0506 (-0.3502, 0.1929)"
"198","single","whz_quarter","placentalmal","Placental malaria","Birth",139,"0.0329 (-0.1558, 0.241)"
"199","single","whz_quarter","placentalmal","Placental malaria","1 day-3 months",137,"0.0464 (-0.0843, 0.1901)"
"200","single","whz_quarter","placentalmal","Placental malaria",">3-6 months",134,"0.0177 (-0.1542, 0.2009)"
"201","single","whz_quarter","placentalmal","Placental malaria",">6-9 months",127,"0.0714 (-0.0608, 0.2316)"
"202","single","whz_quarter","placentalmal","Placental malaria",">9-12 months",121,"0.0511 (-0.0815, 0.21)"
"203","single","whz_quarter","preterm","Pre-term birth",">6-9 months",127,"-0.0228 (-0.1785, 0.0985)"
"204","single","whz_quarter","SCF",NA,"Birth",51,"0.0986 (-0.2311, 0.5544)"
"205","single","whz_quarter","SCF",NA,"1 day-3 months",50,"0.089 (-0.0692, 0.3712)"
"206","single","whz_quarter","SCF",NA,">3-6 months",51,"-0.0491 (-0.3591, 0.1658)"
"207","single","whz_quarter","SCF",NA,">6-9 months",51,"-0.064 (-0.4143, 0.1627)"
"208","single","whz_quarter","SCF",NA,">9-12 months",51,"-0.0634 (-0.3705, 0.1317)"
"209","single","whz_quarter","TNFRSF9",NA,"Birth",51,"0.4784 (-0.0636, 1.1981)"
"210","single","whz_quarter","TNFRSF9",NA,"1 day-3 months",50,"0.1688 (-0.0654, 0.4602)"
"211","single","whz_quarter","TNFRSF9",NA,">3-6 months",51,"0.0802 (-0.3086, 0.5033)"
"212","single","whz_quarter","TNFRSF9",NA,">6-9 months",51,"0.0929 (-0.2511, 0.4692)"
"213","single","whz_quarter","TNFRSF9",NA,">9-12 months",51,"0.0491 (-0.3198, 0.4228)"
"214","single","whz_quarter","TWEAK",NA,"Birth",51,"-0.0154 (-0.2036, 0.1262)"
"215","single","whz_quarter","TWEAK",NA,"1 day-3 months",50,"-0.0214 (-0.2062, 0.1211)"
"216","single","whz_quarter","TWEAK",NA,">3-6 months",51,"-0.0491 (-0.3301, 0.1755)"
"217","single","whz_quarter","TWEAK",NA,">6-9 months",51,"-0.0535 (-0.3635, 0.1974)"
"218","single","whz_quarter","TWEAK",NA,">9-12 months",51,"-0.0456 (-0.3235, 0.1695)"
