,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
88,Anemia at gestational week 28,Weight-for-length Z score,Multi,>9-12 months,432,0,0.1187,0.1163,"[-0.0865, 0.3265]",0,"[-0.0323, 0.0309]",NA,0.1164,"[-0.0836, 0.3232]"
89,Anemia at gestational week 28,Weight-for-length Z score,Single,>9-12 months,116,1,0.3284,-0.188,"[-0.6373, 0.2669]",-0.0719,"[-0.2189, 0.0203]",NA,-0.1161,"[-0.5626, 0.3267]"
90,Anemia at gestational week 28,Weight-for-length Z score,Single,>9-12 months,116,0,-0.1335,-0.2051,"[-0.6373, 0.2628]",-0.0675,"[-0.2026, 0.0205]",NA,-0.1376,"[-0.5763, 0.3313]"
91,Low birth weight,Length-for-age Z score,All,Birth,622,1,-0.2175,-0.2524,"[-0.4304, -0.0697]",-0.0102,"[-0.0816, 0.0638]",NA,-0.2422,"[-0.3997, -0.0731]"
92,Low birth weight,Length-for-age Z score,All,Birth,622,0,-0.2422,-0.2541,"[-0.4264, -0.0845]",-0.0099,"[-0.0812, 0.065]",NA,-0.2442,"[-0.4008, -0.0839]"
93,Low birth weight,Length-for-age Z score,Multi,Birth,476,1,-0.1906,-0.2518,"[-0.4565, -0.0399]",-0.0301,"[-0.1111, 0.0313]",NA,-0.2217,"[-0.4111, -0.0272]"
94,Low birth weight,Length-for-age Z score,Multi,Birth,476,0,-0.2195,-0.2553,"[-0.4611, -0.059]",-0.0332,"[-0.112, 0.0383]",NA,-0.2221,"[-0.4076, -0.0297]"
95,Low birth weight,Length-for-age Z score,Single,Birth,146,1,-0.4094,-0.3294,"[-0.757, 0.1033]",0.1302,"[-0.1009, 0.45]",NA,-0.4596,"[-0.881, -0.0668]"
96,Low birth weight,Length-for-age Z score,Single,Birth,146,0,-0.4474,-0.3249,"[-0.6897, 0.0883]",0.1242,"[-0.1089, 0.3712]",NA,-0.4491,"[-0.7643, -0.1131]"
97,Low birth weight,Length-for-age Z score,All,1 day-3 months,607,1,-0.1954,-0.1914,"[-0.3544, -0.0235]",-0.0128,"[-0.0929, 0.0705]",NA,-0.1786,"[-0.3255, -0.0272]"
98,Low birth weight,Length-for-age Z score,All,1 day-3 months,607,0,-0.1849,-0.1999,"[-0.3649, -0.0447]",-0.0132,"[-0.0907, 0.0659]",NA,-0.1867,"[-0.3245, -0.0387]"
99,Low birth weight,Length-for-age Z score,Multi,1 day-3 months,465,1,-0.1964,-0.2349,"[-0.4303, -0.042]",-0.0377,"[-0.1366, 0.0463]",NA,-0.1972,"[-0.3664, -0.0303]"
100,Low birth weight,Length-for-age Z score,Multi,1 day-3 months,465,0,-0.201,-0.2406,"[-0.4294, -0.0575]",-0.0381,"[-0.1323, 0.0384]",NA,-0.2025,"[-0.3658, -0.0354]"
101,Low birth weight,Length-for-age Z score,Single,1 day-3 months,142,1,-0.2801,-0.101,"[-0.5174, 0.3244]",0.0965,"[-0.1026, 0.3543]",NA,-0.1975,"[-0.5818, 0.1848]"
102,Low birth weight,Length-for-age Z score,Single,1 day-3 months,142,0,-0.2329,-0.1269,"[-0.4973, 0.2738]",0.1064,"[-0.1036, 0.3613]",NA,-0.2333,"[-0.5265, 0.0793]"
103,Low birth weight,Length-for-age Z score,All,>3-6 months,587,1,-0.1773,-0.1223,"[-0.2927, 0.0513]",0,"[-0.0536, 0.0527]",NA,-0.1222,"[-0.284, 0.0464]"
104,Low birth weight,Length-for-age Z score,All,>3-6 months,587,0,-0.1352,-0.1372,"[-0.3013, 0.0225]",0.0003,"[-0.0476, 0.0545]",NA,-0.1375,"[-0.2943, 0.0333]"
105,Low birth weight,Length-for-age Z score,Multi,>3-6 months,453,1,-0.2003,-0.1917,"[-0.3718, 0.0184]",-0.0163,"[-0.075, 0.0355]",NA,-0.1754,"[-0.3549, 0.0164]"
